"film_id","title","most_recent","rental_id","rental_rate","inventory_id","rental_duration","rental_period"
80,"Blanket Beverly","2005-05-24 22:53:30",1,"2.99",367,7,2
333,"Freaky Pocus","2005-05-24 22:54:33",2,"2.99",1525,7,4
373,"Graduate Lord","2005-05-24 23:03:39",3,"2.99",1711,7,8
535,"Love Suicides","2005-05-24 23:04:41",4,"0.99",2452,6,10
450,"Idols Snatchers","2005-05-24 23:05:21",5,"2.99",2079,5,9
613,"Mystic Truman","2005-05-24 23:08:07",6,"0.99",2792,5,3
870,"Swarm Gold","2005-05-24 23:11:53",7,"0.99",3995,4,5
510,"Lawless Vision","2005-05-24 23:31:46",8,"4.99",2346,6,3
565,"Matrix Snowman","2005-05-25 00:00:40",9,"4.99",2580,6,3
396,"Hanging Deep","2005-05-25 00:02:21",10,"4.99",1824,5,6
971,"Whale Bikini","2005-05-25 00:09:02",11,"4.99",4443,4,8
347,"Games Bowfinger","2005-05-25 00:19:27",12,"4.99",1584,7,5
499,"King Evolution","2005-05-25 00:22:55",13,"4.99",2294,3,5
593,"Monterey Labyrinth","2005-05-25 00:31:15",14,"0.99",2701,6,1
670,"Pelican Comforts","2005-05-25 00:39:22",15,"4.99",3049,4,9
86,"Boogie Amelie","2005-05-25 00:43:11",16,"4.99",389,6,1
181,"Contact Anonymous","2005-05-25 01:06:36",17,"2.99",830,7,2
741,"Roman Punk","2005-05-25 01:10:47",18,"0.99",3376,7,6
422,"Hollow Jeopardy","2005-05-25 01:17:24",19,"4.99",1941,7,6
770,"Scissorhands Slums","2005-05-25 01:48:41",20,"2.99",3517,5,2
31,"Apache Divine","2005-05-25 01:59:46",21,"4.99",146,5,1
159,"Closer Bang","2005-05-25 02:19:23",22,"4.99",727,5,1
971,"Whale Bikini","2005-05-25 02:40:21",23,"4.99",4441,4,4
721,"Reds Pocus","2005-05-25 02:53:02",24,"4.99",3273,7,2
863,"Sun Confessions","2005-05-25 03:21:20",25,"0.99",3961,5,2
953,"Wait Cider","2005-05-25 03:36:50",26,"0.99",4371,3,6
271,"Easy Gladiator","2005-05-25 03:41:50",27,"4.99",1225,5,5
887,"Thief Pelican","2005-05-25 03:42:37",28,"4.99",4068,5,1
132,"Chainsaw Uptown","2005-05-25 03:47:12",29,"0.99",611,6,5
819,"Song Hedwig","2005-05-25 04:01:32",30,"0.99",3744,3,5
979,"Witches Panic","2005-05-25 04:05:17",31,"4.99",4482,6,5
839,"Stallion Sundance","2005-05-25 04:06:21",32,"0.99",3832,5,0
367,"Goldmine Tycoon","2005-05-25 04:18:51",33,"0.99",1681,6,2
573,"Microcosmos Paradise","2005-05-25 04:19:28",34,"2.99",2613,6,4
284,"Enemy Odds","2005-05-25 04:24:36",35,"4.99",1286,5,2
288,"Escape Metropolis","2005-05-25 04:36:26",36,"2.99",1308,7,4
89,"Borrowers Bedazzled","2005-05-25 04:44:31",37,"0.99",403,7,4
557,"Manchurian Curtain","2005-05-25 04:47:44",38,"2.99",2540,5,7
976,"Wind Phantom","2005-05-25 04:51:46",39,"0.99",4466,6,6
579,"Minds Truman","2005-05-25 05:09:04",40,"4.99",2638,3,2
382,"Grit Clockwork","2005-05-25 05:12:29",41,"0.99",1761,3,8
84,"Boiled Dares","2005-05-25 05:24:58",42,"4.99",380,7,6
564,"Massage Image","2005-05-25 05:39:25",43,"2.99",2578,4,1
681,"Pirates Roxanne","2005-05-25 05:53:23",44,"0.99",3098,4,4
403,"Harry Idaho","2005-05-25 05:59:39",45,"4.99",1853,5,8
730,"Ridgemont Submarine","2005-05-25 06:04:08",46,"0.99",3318,3,8
478,"Jaws Harry","2005-05-25 06:05:20",47,"2.99",2211,4,5
387,"Gun Bonnie","2005-05-25 06:20:46",48,"0.99",1780,7,8
650,"Pacific Amistad","2005-05-25 06:39:35",49,"0.99",2965,3,5
432,"Hope Tootsie","2005-05-25 06:44:53",50,"2.99",1983,4,3
278,"Elf Murder","2005-05-25 06:49:10",51,"4.99",1257,4,1
875,"Talented Homicide","2005-05-25 06:51:29",52,"0.99",4017,6,6
277,"Elephant Trojan","2005-05-25 07:19:16",53,"4.99",1255,4,2
611,"Musketeers Wait","2005-05-25 07:23:25",54,"4.99",2787,7,7
252,"Dream Pickup","2005-05-25 08:26:13",55,"2.99",1139,6,5
298,"Eyes Driving","2005-05-25 08:28:11",56,"2.99",1352,4,1
858,"Submarine Bed","2005-05-25 08:43:32",57,"4.99",3938,5,4
670,"Pelican Comforts","2005-05-25 08:53:14",58,"4.99",3050,4,3
633,"October Submarine","2005-05-25 08:56:42",59,"4.99",2884,6,7
73,"Bingo Talented","2005-05-25 08:58:25",60,"2.99",330,5,5
915,"Truman Crazy","2005-05-25 09:01:57",61,"4.99",4210,7,8
58,"Beach Heartbreakers","2005-05-25 09:18:52",62,"2.99",261,6,5
873,"Sweethearts Suspects","2005-05-25 09:19:16",63,"0.99",4008,3,2
16,"Alley Evolution","2005-05-25 09:21:29",64,"2.99",79,6,9
776,"Secret Groundhog","2005-05-25 09:32:03",65,"4.99",3552,6,4
257,"Drumline Cyclone","2005-05-25 09:35:12",66,"0.99",1162,3,4
54,"Banger Pinocchio","2005-05-25 09:41:01",67,"0.99",239,5,2
878,"Teen Apollo","2005-05-25 09:47:31",68,"4.99",4029,3,6
705,"Purple Movie","2005-05-25 10:10:14",69,"2.99",3207,4,2
468,"Invasion Cyclone","2005-05-25 10:15:23",70,"2.99",2168,5,2
525,"Loathing Legally","2005-05-25 10:26:39",71,"0.99",2408,4,3
489,"Juggler Hardly","2005-05-25 10:52:13",72,"0.99",2260,4,3
114,"Camelot Vacation","2005-05-25 11:00:07",73,"0.99",517,3,7
379,"Greedy Roots","2005-05-25 11:09:48",74,"0.99",1744,7,1
745,"Roses Treasure","2005-05-25 11:13:34",75,"4.99",3393,5,9
663,"Patient Sister","2005-05-25 11:30:37",76,"0.99",3021,7,9
287,"Entrapment Satisfaction","2005-05-25 11:31:59",77,"0.99",1303,5,1
887,"Thief Pelican","2005-05-25 11:35:18",78,"4.99",4067,5,6
726,"Reservoir Adaptation","2005-05-25 12:11:07",79,"2.99",3299,7,9
543,"Madigan Dorado","2005-05-25 12:12:07",80,"4.99",2478,5,6
572,"Metropolis Coma","2005-05-25 12:15:19",81,"2.99",2610,4,8
304,"Fargo Gandhi","2005-05-25 12:17:46",82,"2.99",1388,3,7
103,"Bucket Brotherhood","2005-05-25 12:30:15",83,"4.99",466,7,2
397,"Hanky October","2005-05-25 12:36:30",84,"2.99",1829,5,4
103,"Bucket Brotherhood","2005-05-25 13:05:34",85,"4.99",470,7,4
491,"Jumping Wrath","2005-05-25 13:36:12",86,"0.99",2275,4,5
