"film_id","f_score","r_score","m_score","frm_score"
127,3,3,3,333
789,3,3,3,333
702,3,3,3,333
869,3,3,3,333
86,3,3,3,333
893,3,3,3,333
220,3,3,3,333
361,3,3,3,333
439,3,3,3,333
857,3,3,3,333
995,3,3,3,333
638,3,3,3,333
154,3,3,3,333
603,3,3,3,333
897,3,3,3,333
244,3,3,3,333
938,3,3,3,333
450,3,3,3,333
624,3,3,3,333
764,3,3,3,333
330,3,3,3,333
397,3,3,3,333
55,3,3,3,333
608,3,3,3,333
745,3,3,3,333
369,3,3,3,333
319,3,3,3,333
1000,3,3,3,333
391,3,3,3,333
773,3,3,3,333
445,3,3,3,333
670,3,3,3,333
902,3,3,3,333
253,3,3,3,333
131,3,3,3,333
775,3,3,3,333
683,3,3,3,333
637,3,3,3,333
61,3,3,3,333
843,3,3,3,333
767,3,3,3,333
804,3,3,3,333
103,3,3,3,333
892,3,3,3,333
676,3,3,3,333
4,3,3,3,333
914,3,3,3,333
166,3,3,3,333
614,3,3,3,333
563,3,3,3,333
21,3,3,3,333
771,3,3,3,333
895,3,3,3,333
468,3,3,3,333
791,3,3,3,333
172,3,3,3,333
300,3,3,3,333
846,3,3,3,333
823,3,3,3,333
556,3,3,3,333
476,3,3,3,333
698,3,3,3,333
706,3,3,3,333
267,3,3,3,333
349,3,3,3,333
378,3,3,3,333
354,3,3,3,333
861,3,3,3,333
67,3,3,3,333
806,3,3,3,333
57,3,3,3,333
135,3,3,3,333
129,3,3,3,333
841,3,3,3,333
838,3,3,3,333
22,3,3,3,333
437,3,3,3,333
403,3,3,3,333
15,3,3,3,333
985,3,3,3,333
786,3,3,2,332
231,3,3,2,332
870,3,3,2,332
625,3,3,2,332
200,3,3,2,332
228,3,3,2,332
525,3,3,2,332
114,3,3,2,332
873,3,3,2,332
462,3,3,2,332
326,3,3,2,332
945,3,3,2,332
301,3,3,2,332
341,3,3,2,332
730,3,3,2,332
489,3,3,2,332
951,3,3,2,332
555,3,3,2,332
850,3,3,2,332
748,3,3,2,332
247,3,3,2,332
285,3,3,2,332
993,3,3,2,332
266,3,3,2,332
628,3,3,2,332
738,3,3,2,332
816,3,3,1,331
273,3,3,1,331
741,3,3,1,331
54,3,3,1,331
406,3,3,1,331
19,3,3,1,331
39,3,3,1,331
376,3,3,1,331
79,3,3,1,331
314,3,3,1,331
535,3,3,1,331
681,3,3,1,331
949,3,3,1,331
119,3,3,1,331
191,3,3,1,331
142,3,3,1,331
982,3,3,1,331
249,3,3,1,331
677,3,3,1,331
641,3,3,1,331
402,3,3,1,331
491,3,3,1,331
270,3,3,1,331
388,3,3,1,331
586,3,3,1,331
494,3,3,1,331
91,3,3,1,331
143,3,3,1,331
966,3,3,1,331
122,3,3,1,331
89,3,3,1,331
412,3,2,3,323
514,3,2,3,323
649,3,2,3,323
59,3,2,3,323
408,3,2,3,323
37,3,2,3,323
879,3,2,3,323
239,3,2,3,323
930,3,2,3,323
313,3,2,3,323
772,3,2,3,323
911,3,2,3,323
551,3,2,3,323
444,3,2,3,323
162,3,2,3,323
350,3,2,3,323
715,3,2,3,323
433,3,2,3,323
471,3,2,3,323
880,3,2,3,323
979,3,2,3,323
645,3,2,3,323
78,3,2,3,323
51,3,2,3,323
112,3,2,3,323
288,3,2,3,323
922,3,2,3,323
972,3,2,3,323
334,3,2,3,323
609,3,2,3,323
25,3,2,3,323
571,3,2,3,323
305,3,2,3,323
35,3,2,3,323
193,3,2,3,323
73,3,2,3,323
554,3,2,3,323
159,3,2,3,323
915,3,2,3,323
989,3,2,3,323
167,3,2,3,323
83,3,2,3,323
973,3,2,3,323
621,3,2,3,323
776,3,2,3,323
255,3,2,3,323
559,3,2,3,323
596,3,2,3,323
320,3,2,3,323
644,3,2,3,323
759,3,2,3,323
428,3,2,3,323
856,3,2,3,323
447,3,2,3,323
31,3,2,3,323
69,3,2,3,323
356,3,2,3,323
415,3,2,3,323
760,3,2,3,323
835,3,2,3,323
174,3,2,3,323
665,3,2,3,323
49,3,2,3,323
322,3,2,3,323
958,3,2,3,323
814,3,2,3,323
331,3,2,3,323
99,3,2,2,322
707,3,2,2,322
970,3,2,2,322
414,3,2,2,322
687,3,2,2,322
358,3,2,2,322
545,3,2,2,322
395,3,2,2,322
387,3,2,2,322
374,3,2,2,322
849,3,2,2,322
109,3,2,2,322
101,3,2,2,322
901,3,2,2,322
382,3,2,2,322
723,3,2,2,322
891,3,2,2,322
245,3,2,2,322
720,3,2,2,322
434,3,2,2,322
295,3,2,2,322
875,3,2,2,322
417,3,2,2,322
12,3,2,2,322
890,3,2,2,322
218,3,2,1,321
132,3,2,1,321
140,3,2,1,321
130,3,2,1,321
164,3,2,1,321
363,3,2,1,321
743,3,2,1,321
790,3,2,1,321
833,3,2,1,321
377,3,2,1,321
562,3,2,1,321
953,3,2,1,321
176,3,2,1,321
242,3,2,1,321
602,3,2,1,321
504,3,2,1,321
646,3,2,1,321
18,3,2,1,321
317,3,2,1,321
1,3,2,1,321
651,3,2,1,321
26,3,2,1,321
920,3,2,1,321
650,3,2,1,321
976,3,2,1,321
416,3,2,1,321
199,3,1,3,313
271,3,1,3,313
181,3,1,3,313
898,3,1,3,313
284,3,1,3,313
500,3,1,3,313
100,3,1,3,313
755,3,1,3,313
117,3,1,3,313
10,3,1,3,313
782,3,1,3,313
252,3,1,3,313
575,3,1,3,313
274,3,1,3,313
45,3,1,3,313
327,3,1,3,313
263,3,1,3,313
353,3,1,3,313
961,3,1,3,313
735,3,1,3,313
235,3,1,3,313
6,3,1,3,313
502,3,1,3,313
694,3,1,3,313
138,3,1,3,313
865,3,1,3,313
527,3,1,3,313
521,3,1,3,313
43,3,1,3,313
304,3,1,3,313
518,3,1,3,313
572,3,1,3,313
307,3,1,3,313
234,3,1,3,313
579,3,1,3,313
800,3,1,3,313
460,3,1,3,313
941,3,1,3,313
443,3,1,3,313
753,3,1,2,312
418,3,1,2,312
697,3,1,2,312
863,3,1,2,312
309,3,1,2,312
206,3,1,2,312
531,3,1,2,312
590,3,1,2,312
303,3,1,2,312
595,3,1,2,312
367,3,1,2,312
366,3,1,1,311
149,3,1,1,311
23,3,1,1,311
807,3,1,1,311
147,3,1,1,311
727,3,1,1,311
11,3,1,1,311
906,3,1,1,311
204,3,1,1,311
852,3,1,1,311
810,3,1,1,311
280,3,1,1,311
292,3,1,1,311
981,3,1,1,311
929,2,3,3,233
222,2,3,3,233
272,2,3,3,233
710,2,3,3,233
680,2,3,3,233
212,2,3,3,233
666,2,3,3,233
501,2,3,3,233
385,2,3,3,233
506,2,3,3,233
871,2,3,3,233
251,2,3,3,233
768,2,3,3,233
510,2,3,3,233
183,2,3,3,233
451,2,3,3,233
785,2,3,3,233
243,2,3,3,233
227,2,3,3,233
805,2,3,3,233
139,2,3,3,233
956,2,3,3,233
229,2,3,3,233
420,2,3,3,233
216,2,3,3,233
648,2,3,3,233
219,2,3,3,233
968,2,3,3,233
392,2,3,3,233
971,2,3,3,233
580,2,3,3,233
486,2,3,3,233
691,2,3,3,233
95,2,3,3,233
409,2,3,3,233
8,2,3,3,233
329,2,3,2,232
912,2,3,2,232
236,2,3,2,232
302,2,3,2,232
453,2,3,2,232
254,2,3,2,232
792,2,3,2,232
542,2,3,2,232
820,2,3,2,232
937,2,3,2,232
481,2,3,2,232
667,2,3,2,232
536,2,3,2,232
137,2,3,2,232
872,2,3,2,232
483,2,3,2,232
927,2,3,2,232
936,2,3,2,232
464,2,3,2,232
116,2,3,2,232
557,2,3,2,232
351,2,3,2,232
72,2,3,2,232
660,2,3,2,232
286,2,3,2,232
689,2,3,2,232
756,2,3,2,232
672,2,3,2,232
986,2,3,2,232
793,2,3,2,232
56,2,3,2,232
704,2,3,2,232
50,2,3,2,232
592,2,3,2,232
201,2,3,2,232
442,2,3,2,232
643,2,3,2,232
842,2,3,2,232
709,2,3,2,232
370,2,3,2,232
97,2,3,1,231
733,2,3,1,231
647,2,3,1,231
574,2,3,1,231
160,2,3,1,231
90,2,3,1,231
118,2,3,1,231
345,2,3,1,231
663,2,3,1,231
379,2,3,1,231
862,2,3,1,231
155,2,3,1,231
281,2,3,1,231
598,2,3,1,231
744,2,3,1,231
864,2,3,1,231
105,2,3,1,231
812,2,3,1,231
233,2,3,1,231
205,2,3,1,231
17,2,3,1,231
604,2,3,1,231
452,2,3,1,231
855,2,3,1,231
488,2,3,1,231
696,2,3,1,231
461,2,3,1,231
606,2,3,1,231
600,2,3,1,231
440,2,3,1,231
458,2,3,1,231
599,2,3,1,231
467,2,3,1,231
496,2,3,1,231
360,2,3,1,231
610,2,3,1,231
189,2,3,1,231
655,2,2,3,223
725,2,2,3,223
668,2,2,3,223
277,2,2,3,223
365,2,2,3,223
944,2,2,3,223
456,2,2,3,223
70,2,2,3,223
739,2,2,3,223
778,2,2,3,223
763,2,2,3,223
734,2,2,3,223
179,2,2,3,223
845,2,2,3,223
215,2,2,3,223
28,2,2,3,223
708,2,2,3,223
324,2,2,3,223
844,2,2,3,223
346,2,2,3,223
777,2,2,3,223
908,2,2,3,223
854,2,2,3,223
260,2,2,3,223
190,2,2,3,223
123,2,2,3,223
946,2,2,3,223
532,2,2,3,223
421,2,2,3,223
803,2,2,3,223
578,2,2,3,223
347,2,2,3,223
711,2,2,3,223
827,2,2,3,223
859,2,2,3,223
77,2,2,3,223
980,2,2,3,223
44,2,2,3,223
165,2,2,3,223
81,2,2,3,223
7,2,2,3,223
48,2,2,3,223
203,2,2,3,223
757,2,2,2,222
658,2,2,2,222
